"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Jan 28 13:33:30 BDT 2024","Sun Jan 28 13:33:39 BDT 2024","9304","Default Suite ","Buying A course","tests.Test_CoursesPage","tests.Test_CoursesPage","ValidateSearchFunctionalityWithValidKeyword","ValidateSearchFunctionalityWithValidKeyword",""
"passed","Sun Jan 28 13:30:45 BDT 2024","Sun Jan 28 13:31:10 BDT 2024","24243","Default Suite ","Blog Post Tests","tests.Test_PractisePost","tests.Test_PractisePost","validationOfDuplicateCommentCatcher","validationOfDuplicateCommentCatcher","This test is to verfy that the website takes user to new page in case of trying to post a duplicate comment!"
"passed","Sun Jan 28 13:31:54 BDT 2024","Sun Jan 28 13:31:55 BDT 2024","1076","Default Suite ","Blog Post Tests","tests.Test_PractisePost","tests.Test_PractisePost","validationOfPostPage","validationOfPostPage","This test checks if the page title is right"
"passed","Sun Jan 28 13:31:23 BDT 2024","Sun Jan 28 13:31:23 BDT 2024","315","Default Suite ","Blog Post Tests","tests.Test_PractisePost","tests.Test_PractisePost","validationOfPostAuthor","validationOfPostAuthor","This test varify the author name of the post"
"passed","Sun Jan 28 13:29:38 BDT 2024","Sun Jan 28 13:29:39 BDT 2024","960","Default Suite ","Blog Post Tests","tests.Test_PractisePost","tests.Test_PractisePost","validateCommentNumber","validateCommentNumber","This test valifate the comment number of this post!"
"passed","Sun Jan 28 13:32:42 BDT 2024","Sun Jan 28 13:32:43 BDT 2024","1072","Default Suite ","ContactUs","tests.Test_ContactUs","tests.Test_ContactUs","CheckingMessageSubmissionWithoutFullInput","CheckingMessageSubmissionWithoutFullInput",""
"passed","Sun Jan 28 13:32:12 BDT 2024","Sun Jan 28 13:32:30 BDT 2024","18265","Default Suite ","Blog Post Tests","tests.Test_POMPage","tests.Test_POMPage","validationOfCommentSubmission","validationOfCommentSubmission",""
"passed","Sun Jan 28 13:34:39 BDT 2024","Sun Jan 28 13:35:06 BDT 2024","26551","Default Suite ","Buying A course","tests.Test_CoursesPage","tests.Test_CoursesPage","validatingSearchWithEmptyInput","validatingSearchWithEmptyInput",""
"passed","Sun Jan 28 13:30:17 BDT 2024","Sun Jan 28 13:30:33 BDT 2024","16447","Default Suite ","Blog Post Tests","tests.Test_PractisePost","tests.Test_PractisePost","validationOfCommentSubmission","validationOfCommentSubmission","This test create a comment on 'Top 17 Automated Testing Best Practices' post and varify that the comment is visible!"
"passed","Sun Jan 28 13:37:32 BDT 2024","Sun Jan 28 13:37:33 BDT 2024","1197","Default Suite ","Buying A course","tests.Test_Checkout","tests.Test_Checkout","functionalityOfDecreaseButtonWhenProductNumberIsOne","functionalityOfDecreaseButtonWhenProductNumberIsOne",""
